year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d03_english,d03_spanish,d03_portuguese,d03_chinese,d03_other,d04_ethnicity,d04_race_white,d04_race_aa,d04_race_asian,d04_race_other,race_hooks,d08_hhi_buckets,d11_car,d11_walk,d11_bike,d11_public,d12_car,d12_walk,d12_bike,d12_public
2019,10.0,10.0,5.0,8.0,4.0,1.0,3.0,5.0,1.0,3.0,4.0,7.0,9.0,Male,65 to 74 Years,hispanic/latino,0.0,Rent,1.0,40.0,"$25,000 to $49,999",0.0,7.0,wrong,1.0,10.0,2.0,High rents,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No Answer,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2019,7.0,4.0,7.0,8.0,3.0,1.0,3.0,5.0,4.0,4.0,9.0,6.0,4.0,Female,65 to 74 Years,white,0.0,Rent,0.0,30.0,"$25,000 to $49,999",0.0,7.0,wrong,4.0,4.0,8.0,,,,,,,0.0,1.0,0.0,0.0,0.0,white,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2019,7.0,4.0,7.0,8.0,3.0,1.0,3.0,5.0,4.0,4.0,9.0,6.0,4.0,Female,65 to 74 Years,white,0.0,Rent,0.0,30.0,"$25,000 to $49,999",0.0,7.0,wrong,4.0,4.0,8.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2019,9.0,9.0,8.0,7.0,5.0,3.0,4.0,5.0,5.0,5.0,9.0,10.0,10.0,Female,65 to 74 Years,white,0.0,Own,0.0,65.0,"$50,000 to 74,999",0.0,3.0,unsure,9.0,10.0,9.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2019,10.0,10.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,Male,65 to 74 Years,white,0.0,Own,1.0,40.0,"$75,000 to $99,999",0.0,4.0,right,7.0,10.0,10.0,Airplane noise,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2019,8.0,8.0,8.0,7.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,Female,55 to 64 Years,white,0.0,Own,0.0,23.0,"$100,000 to $149,999",0.0,3.0,no_answer,4.0,4.0,8.0,"39994 years, I want mountains and a view",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,6,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2019,8.0,9.0,9.0,9.0,4.0,2.0,3.0,4.0,3.0,5.0,8.0,7.0,7.0,Female,55 to 64 Years,white,0.0,Own,0.0,9.0,"$100,000 to $149,999",0.0,2.0,right,7.0,7.0,10.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
2019,1.0,6.0,2.0,6.0,3.0,1.0,3.0,5.0,1.0,3.0,8.0,5.0,8.0,Male,65 to 74 Years,white,0.0,Own,1.0,66.0,"$50,000 to 74,999",0.0,6.0,wrong,7.0,3.0,7.0,"Too liberal, too expensive",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2019,6.0,6.0,7.0,7.0,4.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,Male,25 to 34 Years,white,0.0,Rent,,9.0,"$75,000 to $99,999",0.0,7.0,wrong,4.0,4.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
2019,7.0,8.0,7.0,7.0,5.0,2.0,3.0,4.0,2.0,3.0,8.0,5.0,7.0,Male,35 to 44 Years,white,1.0,Own,1.0,6.0,"$150,000 to 200,000",0.0,7.0,right,8.0,3.0,6.0,"Cost of living, space",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,7,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
