id,year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,d13_ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d11_transportation_mode,d12_transportation_month,d03_language
7430,2019,7.0,8.0,10.0,9.0,4.0,4.0,,4.0,4.0,,8.0,8.0,9.0,Male,31,White,No,Own,No,3 years,"$200,000 or more",No,1.0,Right direction,10.0,8.0,10.0,,Public transit,"Walk, Public transit, Car",English
7431,2019,9.0,9.0,9.0,10.0,5.0,2.0,,5.0,5.0,5.0,10.0,10.0,10.0,Female,62,White,No,Own,No,2 years,"$150,000 to 200,000",No,4.0,Right direction,9.0,9.0,8.0,,Car,"Walk, Public transit, Car",English
7432,2019,7.0,8.0,7.0,6.0,3.0,1.0,,3.0,1.0,5.0,9.0,8.0,9.0,Female,31,White,No,Rent,Yes,10 years,"$100,000 to $149,999",No,6.0,Wrong track,1.0,7.0,5.0,Unaffordable Housing,Public transit,"Walk, Bike, Public transit, Car",English
7433,2019,7.0,8.0,4.0,5.0,4.0,1.0,1.0,5.0,,5.0,9.0,7.0,9.0,Female,35,,Yes,Rent,Yes,5 years,"$75,000 to $99,999",No,5.0,Wrong track,6.0,8.0,6.0,Affordability & schools,Public transit,"Walk, Public transit, Car",English
7434,2019,5.0,6.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,Female,58,White,No,Own,,58 years,"$100,000 to $149,999",No,5.0,Wrong track,5.0,4.0,6.0,"Not sure, am looking",Car,"Walk, Car",English
7435,2019,10.0,10.0,5.0,8.0,4.0,1.0,3.0,5.0,1.0,3.0,4.0,7.0,9.0,Male,68,Hispanic/Latino,No,Rent,Yes,40 years,"$25,000 to $49,999",No,7.0,Wrong track,1.0,10.0,2.0,High rents,Public transit,Public transit,English
7436,2019,7.0,4.0,7.0,8.0,3.0,1.0,3.0,5.0,4.0,4.0,9.0,6.0,4.0,Female,65,White,No,Rent,No,30 years,"$25,000 to $49,999",No,7.0,Wrong track,4.0,4.0,8.0,,Public transit,Public transit,
7437,2019,7.0,4.0,7.0,8.0,3.0,1.0,3.0,5.0,4.0,4.0,9.0,6.0,4.0,Female,65,White,No,Rent,No,30 years,"$25,000 to $49,999",No,7.0,Wrong track,4.0,4.0,8.0,,Public transit,Public transit,English
7438,2019,9.0,9.0,8.0,7.0,5.0,3.0,4.0,5.0,5.0,5.0,9.0,10.0,10.0,Female,65,White,No,Own,No,65 years,"$50,000 to 74,999",No,3.0,Not sure,9.0,10.0,9.0,,"Walk, Public transit","Walk, Public transit",English
7439,2019,10.0,10.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,Male,73,White,No,Own,Yes,40 years,"$75,000 to $99,999",No,4.0,Right direction,7.0,10.0,10.0,Airplane noise,Car,Car,English
7440,2019,8.0,8.0,8.0,7.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,Female,62,White,No,Own,No,23 years,"$100,000 to $149,999",No,3.0,,4.0,4.0,8.0,"39994 years, I want mountains and a view","Walk, Bike, Car","Walk, Bike",English
7441,2019,8.0,9.0,9.0,9.0,4.0,2.0,3.0,4.0,3.0,5.0,8.0,7.0,7.0,Female,58,White,No,Own,No,9 years,"$100,000 to $149,999",No,2.0,Right direction,7.0,7.0,10.0,,Public transit,"Walk, Public transit, Car",English
7442,2019,1.0,6.0,2.0,6.0,3.0,1.0,3.0,5.0,1.0,3.0,8.0,5.0,8.0,Male,66,White,No,Own,Yes,66 years,"$50,000 to 74,999",No,6.0,Wrong track,7.0,3.0,7.0,"Too liberal, too expensive",Car,"Walk, Car",English
7443,2019,6.0,6.0,7.0,7.0,4.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,Male,33,White,No,Rent,,9 years,"$75,000 to $99,999",No,7.0,Wrong track,4.0,4.0,1.0,,"Public transit, Car","Walk, Public transit, Car",English
7444,2019,7.0,8.0,7.0,7.0,5.0,2.0,3.0,4.0,2.0,3.0,8.0,5.0,7.0,Male,36,White,Yes,Own,Yes,6 years,"$150,000 to 200,000",No,7.0,Right direction,8.0,3.0,6.0,"Cost of living, space",Car,"Walk, Car",English
7445,2019,10.0,10.0,10.0,10.0,4.0,2.0,3.0,4.0,4.0,5.0,9.0,10.0,9.0,Female,58,Hispanic/Latino,No,Own,No,1.5 years,"$100,000 to $149,999",No,1.0,Not sure,7.0,6.0,10.0,,"Public transit, Car","Public transit, Car",English
7446,2019,10.0,6.0,9.0,10.0,5.0,1.0,3.0,4.0,4.0,5.0,9.0,10.0,10.0,Female,38,White,Yes,Own,No,13 years,"$25,000 to $49,999",No,6.0,Not sure,10.0,4.0,10.0,,Car,"Walk, Public transit, Car",English
7447,2019,7.0,9.0,9.0,9.0,5.0,2.0,3.0,2.0,1.0,4.0,6.0,9.0,9.0,non999binary transgender,31,White,No,Rent,No,1 year,"$100,000 to $149,999",No,1.0,Right direction,2.0,5.0,9.0,,"Walk, Bike, Public transit, Car","Walk, Bike, Public transit, Car",English
7448,2019,8.0,9.0,8.0,8.0,4.0,1.0,,4.0,2.0,5.0,9.0,7.0,6.0,Male,31,White,No,Rent,Yes,1 year,"$50,000 to 74,999",No,6.0,Not sure,9.0,9.0,7.0,Employment,Walk,"Walk, Bike, Public transit",English
7449,2019,9.0,9.0,9.0,10.0,5.0,2.0,4.0,5.0,2.0,5.0,8.0,10.0,10.0,Female,61,White,No,Own,No,5 years,,No,3.0,Right direction,7.0,9.0,10.0,,Car,"Walk, Public transit, Car",English
7450,2019,7.0,8.0,7.0,8.0,4.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,8.0,Female,29,"Asian, White",No,Rent,No,6 years,"$100,000 to $149,999",No,5.0,Right direction,6.0,6.0,8.0,,Car,"Walk, Public transit, Car",English
7451,2019,8.0,8.0,7.0,6.0,5.0,2.0,3.0,3.0,2.0,4.0,10.0,7.0,8.0,Male,37,White,No,Own,Yes,15 years,"$150,000 to 200,000",No,4.0,Right direction,7.0,6.0,7.0,Nature,Car,"Walk, Public transit, Car",English
7452,2019,7.0,6.0,7.0,6.0,3.0,1.0,3.0,3.0,2.0,3.0,8.0,6.0,7.0,Female,36,White,No,Own,Yes,9 years,"$150,000 to 200,000",No,4.0,Right direction,8.0,4.0,7.0,Cheaper Housing,Car,"Walk, Car",English
7453,2019,8.0,9.0,9.0,9.0,5.0,1.0,5.0,,3.0,5.0,9.0,9.0,10.0,Male,31,White,No,Rent,No,9 years,"$100,000 to $149,999",No,5.0,Not sure,4.0,8.0,10.0,,Walk,"Walk, Public transit, Car",English
7454,2019,5.0,1.0,7.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0,6.0,9.0,9.0,Female,84,White,No,Own,No,78 years,"$25,000 to $49,999",No,6.0,Wrong track,2.0,10.0,9.0,,Walk,Car,Portuguese
7455,2019,8.0,8.0,9.0,7.0,4.0,2.0,2.0,,3.0,4.0,8.0,8.0,9.0,Female,42,White,Yes,Own,No,19 years,"$200,000 or more",No,3.0,Not sure,6.0,9.0,8.0,,Car,"Walk, Bike, Public transit, Car",English
7456,2019,8.0,8.0,9.0,8.0,4.0,2.0,4.0,3.0,3.0,5.0,9.0,8.0,9.0,Female,35,White,Yes,Own,No,13 years,"$150,000 to 200,000",No,3.0,Right direction,6.0,7.0,8.0,,Bike,"Walk, Bike, Public transit, Car",English
7457,2019,7.0,8.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,8.0,9.0,Female,77,White,No,Own,No,35 years,"$50,000 to 74,999",No,6.0,Right direction,8.0,9.0,9.0,,Walk,"Walk, Public transit, Car",English
