id,move_why
8628,limited contract in the US
8629,Housing cost
8630,Joining grand kids
8631,cost of living and space
8639,Can't afford it.
8649,Home prices too high
8650,rising cost
8653,too expensive
8670,Housing costs
8675,commuting
8679,Rent is way too high!
8682,better neighborhood/town
8686,
8692,"cost, space, land"
8694,Graduate School
8695,Health
8697,can't afford to buy here
8698,high taxes
8702,The cost of living is very high.
8703,Too many ways to get a fine.
8706,work
8709,going home
8711,too expensive
8712,Can't afford to buy.
8713,To live with girlfriend.
8714,Financial
8715,Returning to a warmer climate.
8716,Job elsewhere
8717,cost
8722,
8723,money
8727,Rent
8729,Graduate school
8730,"cost of living, space"
8734,New T station driving up rent soon.
8747,"more space, better schools"
8750,"too much construction, too expensive, too many rats"
8755,expensive
8756,cost of housing
8758,cost of living
8763,
8774,New job
8776,Job / schooling change
8777,To buy an affordable house
8780,Too expensive to buy.
8782,Family
8784,Job/studies
8785,Studies
8790,cheaper housing
8797,
8810,graduation
8812,"Space, cost of housing"
8819,commute to work
8822,to live closer to work
8837,School
8838,Buying a home
8842,"GLX Construction,  can't get around city easily, Broadway bus/bike lane"
8843,work
8848,cost of housing
8849,Too quiet for me
8850,My landlord wants me out
8851,Cost of single family houses
8852,"Want to buy a house, but can't afford to here"
8855,can't afford childcare
8858,"Excessive cost of housing for old housing, traffic congestion, Red Line failures, slow public transit"
8860,Boyfriend owns in Malden
8862,too expensive
8864,"My once quiet city has become overcrowded with condos and high rises, pricing out long term residences all while making roads smaller at the cost of residents."
8866,too expensive
8872,Closer to work but I love Somerville <3
8874,"My job is term limited, but I don't want another job here due to the cost of housing."
8877,Too expensive / neighborhood being sold to yuppies / green line extension is a scam
8883,House is being sold and can't find something comparable
8884,buying a house nearby
