ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6045,"2015",5212,766,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.06631465105922768
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6045,"2015",1956,397,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.024887079330746232
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6045,"2015",862,329,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.01096761880526751
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6045,"2015",1192,349,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.015166359183154145
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6045,"2015",2714,500,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.03453145874419492
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6045,"2015",2378,423,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.030256377632164894
3,"Foreign Born",0,"Under 5 Years",2015,"2015",67,65,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.0008524715312678924
3,"Foreign Born",1,"5 to 17 Years",2015,"2015",855,346,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.010878554615433552
3,"Foreign Born",2,"18 to 24 Years",2015,"2015",1563,329,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.019886761244353967
3,"Foreign Born",3,"25 to 34 Years",2015,"2015",6040,719,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.07684967237101596
3,"Foreign Born",4,"35 to 44 Years",2015,"2015",4091,479,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.052051657230103694
3,"Foreign Born",5,"45 to 54 Years",2015,"2015",2537,430.00000000000006,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.03227940708696482
3,"Foreign Born",6,"55 to 59 Years",2015,"2015",1036,244.99999999999997,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.013181500095425918
3,"Foreign Born",7,"60 & 61 Years",2015,"2015",378,149,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.004809466251033781
3,"Foreign Born",8,"62 to 64 Years",2015,"2015",535,158,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.006807048794452574
3,"Foreign Born",9,"65 to 74 Years",2015,"2015",1338,238.99999999999997,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.017023983713976718
